Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 1, note 55, velocity 87
129:0   Note on                 2, note 55, velocity 78
129:0   Note on                 3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                1, note 55, velocity 87
129:0   Note off                2, note 55, velocity 78
129:0   Note off                3, note 55, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note on                 0, note 84, velocity 88
129:0   Note on                 1, note 43, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 43, velocity 78
129:0   Note on                 3, note 43, velocity 110
129:0   Note off                0, note 84, velocity 127
129:0   Note off                1, note 43, velocity 87
129:0   Note off                2, note 43, velocity 78
129:0   Note off                3, note 43, velocity 110
129:0   Note on                 1, note 48, velocity 87
129:0   Note on                 2, note 48, velocity 78
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                1, note 48, velocity 87
129:0   Note off                2, note 48, velocity 78
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 1, note 45, velocity 87
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 45, velocity 78
129:0   Note on                 3, note 45, velocity 110
129:0   Note off                1, note 45, velocity 87
129:0   Note off                2, note 45, velocity 78
129:0   Note off                3, note 45, velocity 110
129:0   Note on                 1, note 50, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 50, velocity 78
129:0   Note on                 3, note 50, velocity 110
129:0   Note off                1, note 50, velocity 87
129:0   Note off                2, note 50, velocity 78
129:0   Note off                3, note 50, velocity 110
129:0   Note on                 0, note 67, velocity 88
129:0   Note on                 1, note 55, velocity 110
129:0   Note on                 2, note 55, velocity 99
129:0   Note on                 3, note 55, velocity 110
129:0   Note off                0, note 67, velocity 127
129:0   Note off                1, note 55, velocity 110
129:0   Note off                2, note 55, velocity 99
129:0   Note off                3, note 55, velocity 110
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 60, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 60, velocity 99
129:0   Note on                 3, note 60, velocity 110
129:0   Note off                0, note 72, velocity 127
129:0   Note off                1, note 60, velocity 110
129:0   Note off                2, note 60, velocity 99
129:0   Note off                3, note 60, velocity 110
129:0   Note on                 0, note 64, velocity 88
129:0   Note on                 1, note 52, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note on                 2, note 52, velocity 78
129:0   Note on                 3, note 52, velocity 110
129:0   Note off                1, note 52, velocity 87
129:0   Note off                2, note 52, velocity 78
129:0   Note off                3, note 52, velocity 110
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 62, velocity 87
129:0   Note on                 2, note 62, velocity 78
129:0   Note on                 3, note 62, velocity 110
129:0   Note off                0, note 70, velocity 127
129:0   Note off                1, note 62, velocity 87
129:0   Note off                2, note 62, velocity 78
129:0   Note off                3, note 62, velocity 110
129:0   Note off                0, note 64, velocity 127
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 62, velocity 87
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 2, note 62, velocity 78
129:0   Note on                 3, note 62, velocity 110
129:0   Note off                0, note 69, velocity 127
129:0   Note off                1, note 62, velocity 87
129:0   Note off                2, note 62, velocity 78
129:0   Note off                3, note 62, velocity 110
129:0   Note on                 0, note 74, velocity 88
129:0   Note on                 1, note 60, velocity 87
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
